Country,2000,2000_lower, 2000_upper, 2000_Footnote, 2001,2001_lower, 2001_upper, 2001_Footnote, 2002,2002_lower, 2002_upper, 2002_Footnote, 2003,2003_lower, 2003_upper, 2003_Footnote, 2004,2004_lower, 2004_upper, 2004_Footnote, 2005,2005_lower, 2005_upper, 2005_Footnote, 2006,2006_lower, 2006_upper, 2006_Footnote, 2007,2007_lower, 2007_upper, 2007_Footnote, 2008,2008_lower, 2008_upper, 2008_Footnote, 2009,2009_lower, 2009_upper, 2009_Footnote, 2010,2010_lower, 2010_upper, 2010_Footnote, 2011,2011_lower, 2011_upper, 2011_Footnote, 2012,2012_lower, 2012_upper, 2012_Footnote, 2013,2013_lower, 2013_upper, 2013_Footnote, 2014,2014_lower, 2014_upper, 2014_Footnote, 2015,2015_lower, 2015_upper, 2015_Footnote, 2016,2016_lower, 2016_upper, 2016_Footnote, 2017,2017_lower, 2017_upper, 2017_Footnote, 2018,2018_lower, 2018_upper, 2018_Footnote, 2019,2019_lower, 2019_upper, 2019_Footnote
Botswana,9.34 ,8.42 , 9.95,"Children estimates were not available at the time of publication.",8.26 ,7.57 , 8.74,"Children estimates were not available at the time of publication.",7.51 ,7.05 , 7.93,"Children estimates were not available at the time of publication.",6.87 ,6.47 , 7.29,"Children estimates were not available at the time of publication.",6.36 ,5.97 , 6.73,"Children estimates were not available at the time of publication.",5.69 ,5.33 , 6.06,"Children estimates were not available at the time of publication.",5.25 ,4.92 , 5.62,"Children estimates were not available at the time of publication.",4.95 ,4.61 , 5.33,"Children estimates were not available at the time of publication.",4.73 ,4.38 , 5.13,"Children estimates were not available at the time of publication.",4.44 ,4.15 , 4.78,"Children estimates were not available at the time of publication.",4.26 ,4.00 , 4.56,"Children estimates were not available at the time of publication.",4.13 ,3.87 , 4.42,"Children estimates were not available at the time of publication.",3.66 ,3.38 , 3.95,"Children estimates were not available at the time of publication.",3.37 ,3.09 , 3.70,"Children estimates were not available at the time of publication.",3.27 ,3.00 , 3.58,"Children estimates were not available at the time of publication.",3.15 ,2.86 , 3.46,"Children estimates were not available at the time of publication.",2.95 ,2.60 , 3.26,"Children estimates were not available at the time of publication.",2.72 ,2.39 , 3.10,"Children estimates were not available at the time of publication.",2.62 ,2.26 , 3.05,"Children estimates were not available at the time of publication.",2.49 ,2.09 , 2.93,"Children estimates were not available at the time of publication."
Brazil,12.28 ,5.86 , 17.95,,11.31 ,5.33 , 16.44,,10.29 ,4.86 , 14.97,,9.35 ,4.43 , 13.65,,8.06 ,3.80 , 11.72,,8.31 ,3.91 , 12.17,,6.83 ,3.19 , 9.95,,6.94 ,3.24 , 10.13,,6.71 ,3.12 , 9.81,,6.47 ,3.01 , 9.48,,6.09 ,2.83 , 9.00,,6.29 ,2.93 , 9.26,,6.08 ,2.83 , 8.92,,6.31 ,2.96 , 9.28,,6.21 ,2.92 , 9.12,,6.24 ,2.94 , 9.19,,5.65 ,2.66 , 8.31,,5.51 ,2.60 , 8.13,,5.38 ,2.56 , 7.92,,5.26 ,2.50 , 7.76,
Brunei Darussalam,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,...,,,"Estimates were not available at the time of publication.",...,,,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication."
Bulgaria,27.60 ,21.20 , 35.20,,25.38 ,20.18 , 31.80,,23.44 ,19.14 , 28.47,,21.46 ,18.20 , 25.29,,20.03 ,17.53 , 23.00,,18.62 ,16.93 , 20.70,,17.25 ,16.04 , 18.79,,16.17 ,15.23 , 17.29,,15.17 ,14.27 , 16.23,,14.17 ,13.24 , 15.32,,13.31 ,12.36 , 14.45,,12.52 ,11.56 , 13.65,,11.88 ,11.01 , 12.90,,11.25 ,10.50 , 12.13,,10.67 ,10.11 , 11.44,,10.21 ,9.66 , 10.89,,9.79 ,9.09 , 10.63,,9.43 ,8.43 , 10.64,,9.09 ,7.74 , 10.73,,8.80 ,7.10 , 10.87,
Burkina Faso,7.15 ,5.86 , 8.62,,6.94 ,5.65 , 8.41,,6.72 ,5.48 , 8.07,,6.56 ,5.41 , 7.99,,6.48 ,5.19 , 7.97,,6.26 ,4.98 , 7.73,,6.01 ,4.67 , 7.36,,5.55 ,4.28 , 6.85,,5.39 ,4.20 , 6.65,,4.93 ,3.78 , 6.27,,4.58 ,3.46 , 5.90,,4.49 ,3.37 , 5.67,,3.94 ,2.84 , 5.18,,3.78 ,2.72 , 5.11,,3.43 ,2.38 , 4.70,,3.07 ,2.07 , 4.38,,2.89 ,1.99 , 4.16,,2.68 ,1.87 , 3.96,,2.80 ,1.88 , 4.23,,2.63 ,1.75 , 4.10,
Burundi,6.27 ,5.27 , 7.43,,5.89 ,4.96 , 7.08,,5.83 ,4.92 , 7.05,,5.51 ,4.64 , 6.68,,5.41 ,4.48 , 6.56,,5.19 ,4.27 , 6.33,,5.27 ,4.26 , 6.48,,5.14 ,4.15 , 6.25,,4.90 ,3.95 , 6.14,,4.73 ,3.77 , 5.99,,4.37 ,3.38 , 5.59,,4.16 ,3.16 , 5.40,,3.97 ,2.94 , 5.15,,3.74 ,2.69 , 4.94,,3.56 ,2.55 , 4.82,,3.19 ,2.16 , 4.47,,2.82 ,1.87 , 4.08,,2.59 ,1.67 , 3.86,,2.36 ,1.49 , 3.64,,2.18 ,1.37 , 3.39,
Cabo Verde,11.03 ,7.98 , 21.37,,11.16 ,8.22 , 18.37,,10.66 ,7.80 , 16.42,,10.54 ,7.88 , 14.96,,9.88 ,7.66 , 13.43,,8.97 ,6.94 , 11.92,,7.99 ,6.13 , 10.66,,7.26 ,5.60 , 9.23,,6.87 ,5.25 , 8.68,,6.49 ,4.92 , 8.21,,6.02 ,4.52 , 7.51,,5.70 ,4.20 , 7.07,,5.49 ,4.02 , 7.06,,5.24 ,3.75 , 6.91,,5.00 ,3.58 , 6.77,,4.77 ,3.42 , 6.72,,4.58 ,3.23 , 6.54,,4.33 ,3.04 , 6.54,,4.21 ,2.90 , 6.70,,4.18 ,2.81 , 6.86,
Cambodia,9.70 ,8.75 , 10.59,,7.39 ,6.64 , 8.08,,6.46 ,5.84 , 7.09,,5.93 ,5.36 , 6.51,,5.36 ,4.85 , 5.91,,4.77 ,4.32 , 5.27,,4.15 ,3.73 , 4.58,,3.57 ,3.20 , 3.95,,3.13 ,2.81 , 3.46,,2.76 ,2.47 , 3.08,,2.41 ,2.13 , 2.68,,2.12 ,1.88 , 2.37,,1.96 ,1.75 , 2.20,,1.83 ,1.62 , 2.05,,1.70 ,1.50 , 1.90,,1.60 ,1.41 , 1.78,,1.56 ,1.38 , 1.74,,1.38 ,1.24 , 1.54,,1.16 ,1.03 , 1.30,,1.08 ,0.95 , 1.22,
Cameroon,15.19 ,13.11 , 18.13,,13.35 ,11.49 , 15.53,,11.73 ,10.40 , 13.25,,10.46 ,9.28 , 11.62,,9.52 ,8.60 , 10.47,,8.78 ,7.94 , 9.50,,8.20 ,7.40 , 8.92,,7.86 ,7.13 , 8.57,,7.44 ,6.66 , 8.22,,7.06 ,6.41 , 7.80,,6.40 ,5.81 , 7.05,,6.06 ,5.49 , 6.65,,5.59 ,5.04 , 6.14,,5.07 ,4.53 , 5.68,,4.84 ,4.29 , 5.42,,4.43 ,3.94 , 5.03,,4.23 ,3.69 , 4.93,,3.85 ,3.29 , 4.53,,3.48 ,2.86 , 4.25,,3.38 ,2.74 , 4.13,
Canada,... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication."
