Country,2000,2000_lower, 2000_upper, 2000_Footnote, 2001,2001_lower, 2001_upper, 2001_Footnote, 2002,2002_lower, 2002_upper, 2002_Footnote, 2003,2003_lower, 2003_upper, 2003_Footnote, 2004,2004_lower, 2004_upper, 2004_Footnote, 2005,2005_lower, 2005_upper, 2005_Footnote, 2006,2006_lower, 2006_upper, 2006_Footnote, 2007,2007_lower, 2007_upper, 2007_Footnote, 2008,2008_lower, 2008_upper, 2008_Footnote, 2009,2009_lower, 2009_upper, 2009_Footnote, 2010,2010_lower, 2010_upper, 2010_Footnote, 2011,2011_lower, 2011_upper, 2011_Footnote, 2012,2012_lower, 2012_upper, 2012_Footnote, 2013,2013_lower, 2013_upper, 2013_Footnote, 2014,2014_lower, 2014_upper, 2014_Footnote, 2015,2015_lower, 2015_upper, 2015_Footnote, 2016,2016_lower, 2016_upper, 2016_Footnote, 2017,2017_lower, 2017_upper, 2017_Footnote, 2018,2018_lower, 2018_upper, 2018_Footnote, 2019,2019_lower, 2019_upper, 2019_Footnote
Central African Republic,9.16 ,7.74 , 10.89,,8.72 ,7.32 , 10.23,,8.47 ,7.16 , 9.87,,8.36 ,7.03 , 9.84,,8.20 ,6.87 , 9.82,,7.89 ,6.61 , 9.44,,7.84 ,6.53 , 9.52,,7.66 ,6.37 , 9.47,,7.35 ,6.08 , 9.18,,7.14 ,5.86 , 9.10,,7.11 ,5.70 , 9.03,,6.90 ,5.29 , 9.01,,6.78 ,5.10 , 8.92,,6.77 ,5.01 , 8.95,,6.43 ,4.54 , 8.77,,5.93 ,3.96 , 8.52,,5.49 ,3.55 , 8.34,,5.34 ,3.41 , 8.15,,5.12 ,3.11 , 8.11,,4.79 ,2.81 , 7.95,
Chad,11.29 ,8.78 , 14.02,,10.66 ,8.39 , 13.06,,10.20 ,8.11 , 12.44,,10.24 ,8.19 , 12.41,,9.48 ,7.49 , 11.42,,9.56 ,7.54 , 11.52,,8.96 ,7.00 , 10.85,,8.76 ,6.73 , 10.58,,8.35 ,6.54 , 10.03,,7.53 ,5.73 , 9.19,,7.14 ,5.33 , 8.85,,6.72 ,5.05 , 8.34,,6.45 ,4.79 , 8.06,,5.97 ,4.42 , 7.57,,5.36 ,3.77 , 6.99,,5.25 ,3.67 , 6.94,,4.87 ,3.25 , 6.55,,4.86 ,3.22 , 6.58,,4.69 ,3.06 , 6.56,,4.32 ,2.72 , 6.46,
Chile,12.81 ,11.23 , 14.49,,11.37 ,9.83 , 13.00,,10.02 ,8.64 , 11.49,,8.94 ,7.74 , 10.19,,8.24 ,7.13 , 9.49,,7.87 ,6.80 , 9.10,,7.68 ,6.59 , 8.94,,7.74 ,6.58 , 9.09,,7.97 ,6.77 , 9.42,,8.35 ,7.07 , 9.89,,8.86 ,7.46 , 10.54,,9.26 ,7.80 , 11.09,,9.44 ,7.89 , 11.32,,9.39 ,7.80 , 11.28,,9.21 ,7.64 , 11.08,,8.86 ,7.29 , 10.63,,8.40 ,6.85 , 10.11,,7.88 ,6.38 , 9.55,,7.29 ,5.75 , 8.92,,6.86 ,5.26 , 8.53,
China,... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication."
Colombia,10.96 ,8.45 , 14.56,,10.41 ,8.09 , 13.47,,9.56 ,7.52 , 12.04,,8.04 ,6.43 , 9.89,,8.26 ,6.53 , 10.16,,8.18 ,6.37 , 10.02,,8.45 ,6.51 , 10.31,,7.93 ,6.21 , 9.82,,7.40 ,5.25 , 9.48,,7.96 ,5.68 , 10.44,,8.83 ,6.63 , 11.36,,8.69 ,6.47 , 11.38,,8.36 ,6.22 , 11.07,,8.06 ,5.91 , 10.81,,7.70 ,5.53 , 10.47,,7.31 ,5.09 , 10.13,,6.91 ,4.72 , 9.75,,6.55 ,4.47 , 9.52,,6.40 ,4.31 , 9.53,,6.29 ,4.24 , 9.82,
Comoros,22.86 ,11.43 , 45.71,,21.43 ,9.52 , 40.48,,18.37 ,10.20 , 36.73,,17.86 ,8.93 , 35.71,,17.19 ,9.38 , 34.38,,14.29 ,7.14 , 30.00,,14.29 ,6.49 , 27.27,,12.05 ,6.02 , 25.30,,11.36 ,4.55 , 23.86,,10.87 ,4.35 , 23.91,,9.38 ,4.17 , 20.83,,8.91 ,3.96 , 18.81,,7.55 ,2.83 , 16.98,,7.27 ,2.73 , 16.36,,7.02 ,2.63 , 14.91,,5.98 ,2.56 , 13.68,,5.79 ,2.48 , 12.40,,5.65 ,2.42 , 11.29,,4.76 ,2.38 , 11.90,,4.65 ,2.33 , 11.63,
Congo,8.66 ,7.45 , 9.80,,8.22 ,7.04 , 9.31,,8.50 ,7.24 , 9.59,,7.86 ,6.63 , 8.91,,7.86 ,6.60 , 8.99,,7.85 ,6.51 , 9.17,,7.94 ,6.54 , 9.13,,7.84 ,6.46 , 9.08,,8.17 ,6.63 , 9.84,,8.07 ,6.49 , 9.73,,7.70 ,6.03 , 9.47,,7.52 ,5.70 , 9.53,,7.58 ,5.55 , 9.73,,7.64 ,5.41 , 10.27,,7.70 ,5.28 , 10.73,,7.81 ,5.15 , 11.61,,7.74 ,4.89 , 12.35,,7.73 ,4.67 , 13.21,,7.64 ,4.42 , 14.08,,7.66 ,4.26 , 15.23,
Costa Rica,12.50 ,9.28 , 15.87,,12.03 ,8.94 , 15.31,,11.56 ,8.59 , 14.73,,11.12 ,8.22 , 14.21,,10.73 ,7.94 , 13.70,,10.37 ,7.63 , 13.24,,9.97 ,7.31 , 12.69,,9.65 ,7.07 , 12.38,,9.36 ,6.85 , 11.99,,9.06 ,6.64 , 11.67,,8.83 ,6.47 , 11.36,,8.55 ,6.24 , 11.00,,8.27 ,6.02 , 10.64,,8.07 ,5.85 , 10.34,,7.82 ,5.67 , 10.07,,7.59 ,5.47 , 9.81,,7.36 ,5.32 , 9.53,,7.13 ,5.15 , 9.25,,6.91 ,4.95 , 9.01,,6.66 ,4.77 , 8.67,
Croatia,13.40 ,11.00 , 15.31,,12.77 ,10.21 , 14.89,,12.19 ,9.90 , 14.29,,11.47 ,9.59 , 13.18,,10.87 ,9.32 , 12.27,,10.21 ,8.94 , 11.35,,9.78 ,8.47 , 10.82,,9.18 ,7.85 , 10.39,,8.76 ,7.30 , 10.00,,8.29 ,6.61 , 9.76,,7.87 ,6.40 , 9.15,,7.49 ,6.10 , 8.78,,7.15 ,5.67 , 8.46,,6.84 ,5.02 , 8.57,,6.55 ,4.21 , 8.66,,6.30 ,3.33 , 9.04,,6.12 ,2.39 , 9.50,,5.90 ,1.41 , 9.99,,5.63 ,1.41 , 9.60,,5.40 ,1.35 , 9.14,
Cuba,18.74 ,10.58 , 28.58,,18.33 ,10.40 , 27.97,,18.16 ,10.36 , 27.86,,17.42 ,9.95 , 26.70,,16.73 ,9.61 , 25.71,,16.09 ,9.22 , 24.82,,15.49 ,8.92 , 24.07,,14.94 ,8.60 , 23.21,,14.44 ,8.31 , 22.52,,13.79 ,7.93 , 21.59,,13.01 ,7.47 , 20.44,,12.07 ,6.97 , 19.05,,11.12 ,6.39 , 17.55,,10.19 ,5.83 , 16.07,,9.23 ,5.28 , 14.55,,8.25 ,4.77 , 13.10,,7.35 ,4.28 , 11.78,,6.47 ,3.80 , 10.34,,5.71 ,3.30 , 9.13,,5.14 ,2.94 , 8.35,
Cyprus,... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication."
Czechia,... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication."
Côte d'Ivoire,9.07 ,7.69 , 10.58,,8.39 ,7.15 , 9.59,,7.94 ,6.81 , 9.15,,7.74 ,6.55 , 8.98,,7.33 ,6.31 , 8.50,,6.97 ,6.00 , 8.21,,6.72 ,5.79 , 7.84,,6.39 ,5.46 , 7.56,,6.12 ,5.13 , 7.25,,5.65 ,4.66 , 6.83,,5.41 ,4.42 , 6.61,,5.21 ,4.20 , 6.35,,4.82 ,3.85 , 5.86,,4.48 ,3.47 , 5.49,,4.26 ,3.36 , 5.20,,4.07 ,3.18 , 5.08,,3.87 ,2.99 , 4.98,,3.53 ,2.63 , 4.68,,3.25 ,2.33 , 4.52,,2.84 ,1.97 , 4.00,
Democratic People's Republic of Korea,... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication."
Democratic Republic of the Congo,9.01 ,7.47 , 10.40,,8.72 ,7.26 , 10.10,,8.48 ,7.07 , 9.87,,8.34 ,6.93 , 9.75,,8.07 ,6.65 , 9.54,,8.06 ,6.58 , 9.50,,7.90 ,6.53 , 9.46,,7.77 ,6.37 , 9.35,,7.45 ,6.11 , 9.01,,7.37 ,5.99 , 8.85,,7.08 ,5.60 , 8.55,,6.86 ,5.38 , 8.36,,6.66 ,5.19 , 8.16,,6.26 ,4.82 , 7.84,,6.01 ,4.47 , 7.75,,5.69 ,4.06 , 7.40,,5.40 ,3.87 , 7.30,,5.17 ,3.56 , 7.24,,4.83 ,3.26 , 7.02,,4.37 ,2.80 , 6.51,
Denmark,... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication."
Djibouti,12.59 ,6.74 , 24.67,,8.88 ,4.92 , 19.15,,7.01 ,4.10 , 14.19,,5.40 ,3.24 , 9.38,,4.90 ,2.92 , 7.92,,4.40 ,2.73 , 7.04,,4.14 ,2.64 , 6.87,,4.21 ,2.63 , 7.22,,3.73 ,2.27 , 6.61,,3.58 ,2.20 , 6.20,,3.41 ,2.03 , 5.97,,3.29 ,1.94 , 5.65,,3.15 ,1.81 , 5.51,,2.99 ,1.71 , 5.21,,2.70 ,1.47 , 4.97,,2.48 ,1.34 , 4.86,,2.26 ,1.20 , 4.60,,2.20 ,1.17 , 4.50,,2.01 ,1.03 , 4.11,,1.94 ,1.01 , 4.04,
Dominican Republic,8.61 ,6.61 , 11.48,,7.62 ,5.93 , 10.06,,6.97 ,5.48 , 9.46,,6.37 ,5.01 , 8.62,,5.87 ,4.61 , 7.98,,5.59 ,4.37 , 7.63,,5.00 ,3.95 , 6.83,,4.53 ,3.47 , 6.04,,4.33 ,3.33 , 5.71,,4.32 ,3.32 , 5.61,,4.10 ,3.18 , 5.36,,3.93 ,3.02 , 5.17,,3.92 ,2.98 , 5.21,,3.93 ,2.98 , 5.26,,3.94 ,2.93 , 5.22,,4.00 ,2.83 , 5.33,,3.99 ,2.70 , 5.26,,3.98 ,2.58 , 5.18,,3.94 ,2.49 , 5.32,,3.92 ,2.39 , 5.33,
Ecuador,11.31 ,7.66 , 20.21,,11.17 ,7.60 , 19.46,,10.23 ,6.96 , 17.69,,9.10 ,6.20 , 16.70,,9.62 ,6.62 , 18.05,,9.61 ,6.51 , 18.01,,9.06 ,6.08 , 16.87,,8.86 ,5.87 , 16.72,,8.83 ,5.71 , 16.90,,8.08 ,5.17 , 15.85,,8.04 ,5.13 , 15.63,,7.62 ,4.81 , 14.34,,7.26 ,4.64 , 13.55,,7.08 ,4.39 , 13.12,,6.94 ,4.32 , 12.88,,6.65 ,4.15 , 12.41,,6.29 ,3.95 , 11.94,,5.90 ,3.63 , 11.38,,5.55 ,3.38 , 10.77,,5.09 ,3.00 , 10.26,
Egypt,17.22 ,7.46 , 28.80,,15.58 ,7.81 , 31.60,,14.18 ,8.04 , 32.95,,13.36 ,8.55 , 34.94,,12.95 ,8.12 , 31.56,,13.01 ,8.65 , 29.68,,13.44 ,9.29 , 28.13,,14.02 ,9.83 , 26.07,,14.93 ,10.77 , 24.03,,15.85 ,11.35 , 23.77,,16.84 ,12.00 , 24.30,,17.69 ,12.67 , 24.84,,18.43 ,13.07 , 25.51,,18.96 ,13.36 , 25.73,,19.35 ,13.58 , 25.97,,19.58 ,13.77 , 26.14,,19.64 ,13.80 , 26.30,,19.60 ,13.74 , 26.20,,19.39 ,13.65 , 26.59,,19.12 ,13.47 , 26.92,
El Salvador,15.86 ,13.74 , 18.03,,14.88 ,13.10 , 17.13,,13.79 ,11.99 , 15.73,,12.81 ,11.17 , 14.71,,11.83 ,10.31 , 13.68,,10.95 ,9.41 , 12.65,,9.99 ,8.75 , 11.68,,9.02 ,7.91 , 10.68,,8.06 ,6.89 , 9.56,,7.19 ,6.11 , 8.62,,6.45 ,5.53 , 7.89,,5.81 ,4.90 , 7.19,,5.25 ,4.32 , 6.43,,4.80 ,3.89 , 5.99,,4.39 ,3.55 , 5.70,,4.08 ,3.28 , 5.37,,3.83 ,3.09 , 5.17,,3.59 ,2.84 , 5.16,,3.41 ,2.68 , 5.02,,3.24 ,2.50 , 4.94,
Equatorial Guinea,15.57 ,11.82 , 21.11,,14.94 ,11.59 , 19.91,,14.03 ,11.05 , 18.11,,13.69 ,10.96 , 17.34,,13.27 ,10.52 , 16.59,,12.67 ,10.24 , 15.66,,12.47 ,10.09 , 15.39,,12.13 ,9.74 , 14.69,,11.53 ,9.23 , 14.11,,11.59 ,9.43 , 14.23,,11.17 ,8.83 , 13.93,,11.06 ,8.67 , 14.45,,10.72 ,7.99 , 14.39,,9.95 ,6.85 , 13.78,,9.14 ,5.99 , 13.26,,9.09 ,5.87 , 13.42,,8.85 ,5.42 , 13.74,,8.58 ,5.06 , 13.69,,8.12 ,4.53 , 13.52,,8.08 ,4.45 , 14.16,
Eritrea,7.46 ,5.41 , 10.85,,6.92 ,4.99 , 9.76,,6.54 ,4.74 , 9.03,,6.30 ,4.55 , 8.62,,6.11 ,4.35 , 8.50,,5.90 ,4.04 , 8.01,,5.75 ,4.00 , 7.97,,5.41 ,3.84 , 7.62,,5.11 ,3.45 , 7.28,,4.86 ,3.24 , 7.03,,4.62 ,3.01 , 6.75,,4.23 ,2.63 , 6.39,,3.78 ,2.16 , 5.99,,3.49 ,1.98 , 5.72,,3.16 ,1.75 , 5.41,,3.02 ,1.64 , 5.17,,2.94 ,1.57 , 5.19,,2.79 ,1.42 , 5.08,,2.61 ,1.28 , 5.03,,2.60 ,1.27 , 5.03,
Estonia,... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication."
Eswatini,13.37 ,12.03 , 14.56,,12.31 ,11.24 , 13.24,,11.44 ,10.67 , 12.19,,10.81 ,10.17 , 11.40,,10.31 ,9.70 , 10.80,,9.99 ,9.40 , 10.51,,9.32 ,8.78 , 9.81,,8.88 ,8.31 , 9.39,,8.56 ,7.98 , 9.12,,7.93 ,7.36 , 8.46,,7.50 ,6.98 , 8.03,,7.07 ,6.57 , 7.55,,6.77 ,6.24 , 7.30,,6.45 ,5.87 , 7.01,,6.00 ,5.44 , 6.57,,5.04 ,4.49 , 5.52,,4.24 ,3.66 , 4.73,,3.48 ,2.91 , 4.02,,2.61 ,2.07 , 3.19,,2.23 ,1.75 , 2.81,
Ethiopia,6.79 ,3.69 , 11.93,,6.31 ,3.42 , 11.07,,6.07 ,3.30 , 10.66,,5.70 ,3.09 , 10.01,,5.57 ,3.02 , 9.77,,5.26 ,2.86 , 9.24,,5.18 ,2.81 , 9.10,,5.02 ,2.72 , 8.81,,4.58 ,2.49 , 8.05,,4.44 ,2.41 , 7.80,,4.11 ,2.23 , 7.22,,3.77 ,2.05 , 6.63,,3.43 ,1.86 , 6.02,,3.00 ,1.63 , 5.27,,2.86 ,1.55 , 5.02,,2.67 ,1.45 , 4.68,,2.59 ,1.41 , 4.55,,2.46 ,1.34 , 4.32,,2.24 ,1.22 , 3.94,,2.22 ,1.20 , 3.89,
Fiji,18.03 ,12.30 , 64.75,,17.99 ,12.23 , 61.15,,16.98 ,11.95 , 51.57,,17.13 ,12.15 , 44.20,,16.91 ,12.08 , 38.65,,16.60 ,11.49 , 32.77,,16.36 ,11.15 , 30.86,,16.34 ,11.44 , 29.41,,16.14 ,10.95 , 27.67,,15.82 ,10.20 , 26.79,,15.03 ,9.79 , 27.11,,14.90 ,9.39 , 27.96,,14.52 ,9.01 , 28.86,,13.95 ,8.31 , 29.90,,13.73 ,7.99 , 30.17,,13.31 ,7.82 , 30.45,,13.27 ,7.51 , 31.16,,13.13 ,7.19 , 30.14,,12.83 ,6.67 , 29.61,,12.40 ,6.11 , 29.68,
Finland,... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication."
France,7.89 ,6.71 , 9.29,,7.65 ,6.49 , 8.98,,7.43 ,6.27 , 8.79,,7.96 ,6.68 , 9.49,,6.75 ,5.63 , 8.07,,6.38 ,5.29 , 7.66,,5.28 ,4.35 , 6.35,,5.23 ,4.30 , 6.29,,4.72 ,3.87 , 5.69,,4.30 ,3.54 , 5.20,,3.92 ,3.21 , 4.72,,4.01 ,3.29 , 4.84,,3.88 ,3.17 , 4.66,,3.85 ,3.15 , 4.60,,4.12 ,3.38 , 4.94,,3.88 ,3.18 , 4.66,,3.70 ,3.03 , 4.47,,... ,... , ...,,... ,... , ...,,... ,... , ...,
Gabon,12.03 ,8.65 , 16.35,,11.18 ,8.54 , 14.71,,10.07 ,7.86 , 12.69,,9.29 ,7.25 , 11.55,,8.71 ,6.94 , 10.95,,7.99 ,6.26 , 10.03,,7.45 ,5.76 , 9.47,,7.01 ,5.23 , 8.95,,6.54 ,4.74 , 8.42,,6.45 ,4.57 , 8.32,,6.03 ,4.18 , 7.84,,5.75 ,3.90 , 7.62,,5.39 ,3.55 , 7.26,,4.93 ,3.10 , 7.04,,4.60 ,2.81 , 6.67,,4.27 ,2.48 , 6.39,,3.75 ,2.06 , 5.97,,3.49 ,1.85 , 5.64,,3.18 ,1.58 , 5.24,,2.99 ,1.41 , 5.26,
Gambia,19.82 ,14.59 , 27.26,,17.88 ,13.37 , 24.02,,15.98 ,11.97 , 21.26,,14.28 ,10.95 , 19.09,,13.22 ,10.20 , 17.81,,12.56 ,9.77 , 16.91,,11.88 ,9.23 , 15.80,,11.54 ,8.94 , 15.55,,11.23 ,8.47 , 15.03,,10.76 ,8.14 , 14.45,,10.23 ,7.60 , 13.86,,9.84 ,7.26 , 13.30,,9.30 ,6.93 , 12.52,,9.26 ,6.81 , 12.47,,9.20 ,6.77 , 12.65,,8.96 ,6.32 , 12.28,,8.85 ,6.19 , 12.55,,8.63 ,5.91 , 12.54,,8.53 ,5.60 , 12.60,,8.42 ,5.60 , 12.81,
Georgia,... ,... , ...,,... ,... , ...,,... ,... , ...,,... ,... , ...,,... ,... , ...,,... ,... , ...,,... ,... , ...,,... ,... , ...,,... ,... , ...,,... ,... , ...,,... ,... , ...,,... ,... , ...,,... ,... , ...,,... ,... , ...,,... ,... , ...,,... ,... , ...,,... ,... , ...,,... ,... , ...,,... ,... , ...,,... ,... , ...,
Germany,... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication."
Ghana,10.20 ,8.27 , 12.06,,9.83 ,8.06 , 11.59,,9.39 ,7.80 , 10.93,,8.80 ,7.27 , 10.45,,8.14 ,6.73 , 9.73,,8.45 ,6.78 , 10.13,,8.22 ,6.72 , 10.14,,7.99 ,6.32 , 10.01,,8.03 ,6.06 , 10.22,,7.60 ,5.53 , 9.80,,7.95 ,5.64 , 10.55,,7.59 ,5.20 , 10.34,,7.18 ,4.87 , 10.06,,7.04 ,4.61 , 10.06,,6.73 ,4.22 , 9.92,,6.49 ,3.93 , 9.95,,6.16 ,3.50 , 9.87,,6.04 ,3.26 , 10.08,,6.03 ,3.08 , 10.65,,5.86 ,2.89 , 10.72,
Greece,... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication."
